Age,All_Devs,Python,JavaScript
18,18215,19684,18872
19,17184,17862,17643
20,18976,20431,19815
21,21542,24785,22896
22,25864,30124,27684
23,31745,38156,34492
24,35218,39482,36875
25,30963,43257,40586
26,32157,46789,43952
27,40284,49836,47241
28,41962,52148,49573
29,47281,40692,46834
30,51864,48874,51358
31,49835,55124,53987
32,62451,68157,63952
33,67384,69248,67184
34,69124,70361,68452
35,74215,75892,73481
36,78154,83674,77615
37,79268,84517,78164
38,78145,77942,78321
39,80162,85268,79854
40,82497,87248,82146
41,89145,92471,88634
42,90281,99984,89651
43,90426,95286,90184
44,95173,98314,94487
45,90874,93641,91375
46,92458,99152,91864
47,92684,102514,92381
48,98427,112384,97954
49,99174,100523,98641
50,100312,103784,99854
51,99345,107416,99426
52,100584,101268,100924
53,108527,115741,107318
54,105342,122361,104785
55,103846,120218,102957
