view_count,likes,ratio
684126,679884,99.38
833004,803349,96.44
156909,153974,98.13
202405,189491,93.62
126632,125378,99.01
455254,411413,90.37
914420,860834,94.14
509706,463322,90.9
895281,811035,90.59
1190842,1086405,91.23
473166,455374,96.24
1227633,1220021,99.38
1215272,1164230,95.8
108996,108625,99.66
102690,98079,95.51
284287,264017,92.87
307524,293224,95.35
1202292,1118732,93.05
1716541,1660753,96.75
221123,211747,95.76
1344898,1235423,91.86
209326,199738,95.42
136678,130650,95.59
1303157,1199425,92.04
1431902,1364029,95.26
1634966,1522316,93.11
1233012,1222408,99.14
763293,709633,92.97
1670934,1533583,91.78
1640421,1516077,92.42
1209653,1124614,92.97
1043334,1029353,98.66
1534757,1449424,94.44
1282079,1278232,99.7
252601,240147,95.07
350950,342176,97.5
323734,321273,99.24
889365,803897,90.39
1406350,1276543,90.77
1175369,1124475,95.67
1841010,1806030,98.1
718288,695877,96.88
1251483,1187907,94.92
1676203,1584347,94.52
1766540,1606314,90.93
571103,540777,94.69
1397828,1266991,90.64
1538352,1491278,96.94
1362127,1303827,95.72
1433657,1406990,98.14
