Area,Bedrooms,Bathrooms,Floors,Condition,Age,Garage_No,Garage_Yes,Location_Downtown,Location_Rural,Location_Suburban,Location_Urban,Price
2195,5,3,2,2.0,38,1.0,0.0,0.0,0.0,1.0,0.0,579315
2339,3,4,1,3.0,25,1.0,0.0,0.0,0.0,1.0,0.0,642275
3602,2,4,2,2.0,26,0.0,1.0,0.0,0.0,0.0,1.0,876550
4431,3,2,1,1.0,2,1.0,0.0,0.0,1.0,0.0,0.0,932643
3707,2,4,1,3.0,16,1.0,0.0,0.0,0.0,0.0,1.0,891461
4983,1,3,1,3.0,18,0.0,1.0,0.0,1.0,0.0,0.0,1032606
4137,2,3,1,1.0,32,1.0,0.0,0.0,0.0,0.0,1.0,925607
4492,2,4,3,1.0,22,0.0,1.0,0.0,0.0,1.0,0.0,976269
1140,1,5,2,1.0,7,0.0,1.0,0.0,0.0,0.0,1.0,455690
4373,6,2,3,1.0,30,1.0,0.0,0.0,0.0,1.0,0.0,1005239
1742,1,2,2,3.0,20,1.0,0.0,0.0,0.0,0.0,1.0,531704
1070,2,3,3,2.0,21,0.0,1.0,1.0,0.0,0.0,0.0,473985
4418,2,4,1,2.0,8,1.0,0.0,0.0,1.0,0.0,0.0,967455
2042,1,1,3,1.0,16,0.0,1.0,0.0,0.0,0.0,1.0,589268
3356,2,3,2,2.0,29,0.0,1.0,0.0,1.0,0.0,0.0,738564
3430,6,3,2,1.0,16,0.0,1.0,1.0,0.0,0.0,0.0,913565
1813,6,1,1,2.0,20,1.0,0.0,1.0,0.0,0.0,0.0,631513
2258,6,3,3,3.0,1,1.0,0.0,0.0,0.0,1.0,0.0,697114
3066,6,3,1,2.0,14,1.0,0.0,0.0,0.0,1.0,0.0,793720
931,2,1,3,2.0,20,0.0,1.0,0.0,0.0,0.0,1.0,384008
2274,1,4,3,2.0,38,1.0,0.0,1.0,0.0,0.0,0.0,666451
2845,5,2,2,3.0,1,1.0,0.0,1.0,0.0,0.0,0.0,871713
1592,6,1,3,2.0,13,0.0,1.0,0.0,1.0,0.0,0.0,485580
4446,6,4,1,2.0,25,0.0,1.0,1.0,0.0,0.0,0.0,1127301
