number_courses,time_study,Marks
6,11.4,99
1,1.3,39
2,4.7,43
4,0.9,38
7,1.3,36
7,1.2,51
2,11.4,99
1,7.1,66
1,11.7,80
3,3.8,43
2,7.1,73
3,1.7,46
4,4.8,64
2,7.0,74
4,6.2,72
7,9.4,92
8,4.7,61
3,8.5,72
2,7.1,72
8,10.6,100
8,3.8,51
2,6.4,57
6,2.2,52
7,1.0,53
2,9.3,86
6,4.4,60
8,7.2,82
2,10.2,81
8,8.5,77
1,8.9,72
8,3.8,61
6,0.8,43
6,2.4,41
8,1.2,59
5,2.0,41
7,5.0,69
2,2.4,42
5,10.7,94
5,8.6,81
7,11.5,94
2,2.5,37
4,0.6,42
3,3.5,38
3,5.3,59
6,11.5,100
1,5.8,70
7,5.1,67
2,6.0,62
1,2.7,35
8,2.4,52
1,1.7,42
3,6.7,66
1,1.3,28
7,2.2,47
6,7.4,80
2,1.8,41
8,6.0,71
2,2.2,52
6,9.0,89
3,6.4,60
6,2.2,54
1,9.2,74
2,8.5,71
6,10.9,95
4,6.6,81
6,7.8,86
4,9.8,86
4,2.8,51
6,8.9,73
5,5.9,61
6,5.6,78
6,11.5,99
2,3.0,40
8,2.8,50
8,7.7,90
1,6.0,68
6,9.7,80
2,11.0,99
4,6.0,59
7,9.6,89
2,9.7,93
7,5.8,81
2,8.8,70
3,0.8,41
8,9.8,86
8,8.1,84
3,6.8,60
1,0.7,41
2,6.6,57
7,11.8,97
4,0.8,31
5,6.3,81
6,3.5,57
3,1.2,48
6,10.8,100
7,10.0,98
3,6.6,71
1,10.5,96
3,7.5,84
3,2.5,47
2,6.9,64
8,9.5,84
1,3.4,41
1,9.4,82
8,7.0,91
2,5.6,66
4,8.5,81
8,6.3,70
5,11.1,90
8,2.1,43
7,5.6,59
4,5.4,56
5,9.5,99
3,11.3,100
6,2.1,40
8,3.0,48
7,10.7,90
4,2.4,47
7,4.4,57
6,4.2,71
6,0.7,45
8,5.6,59
7,4.3,69
5,6.4,60
2,11.8,88
2,1.5,33
1,10.9,79
5,9.2,86
5,5.2,68
8,8.6,78
5,1.2,51
3,5.4,50
5,11.3,100
2,9.7,72
4,1.3,31
8,0.6,49
7,11.2,96
3,1.0,46
4,11.3,88
5,1.1,35
5,7.7,81
4,3.8,57
3,3.6,38
5,0.9,27
4,6.4,63
8,1.7,58
7,8.0,88
7,11.7,100
4,11.8,95
4,10.1,98
3,5.2,58
1,10.1,70
2,7.7,67
7,2.4,42
7,10.5,100
5,7.4,85
5,1.0,33
3,3.6,38
5,4.7,58
6,3.3,52
4,4.6,46
6,4.9,66
5,6.3,63
4,6.3,55
2,3.5,38
3,5.1,48
7,0.8,40
4,1.5,45
3,8.1,85
7,9.3,100
8,2.2,64
3,1.0,46
7,8.9,91
3,11.0,100
1,10.0,88
4,1.5,30
3,7.8,64
7,10.1,99
1,7.7,77
4,6.1,54
8,9.7,100
2,8.1,63
8,3.4,49
5,3.2,64
4,3.2,58
8,6.2,75
2,6.0,71
5,9.3,93
4,1.4,32
6,3.4,66
5,7.6,68
1,6.0,63
5,11.7,90
4,8.3,75
5,5.8,68
2,11.9,99
4,4.1,45
8,0.7,46
2,9.9,85
5,4.9,55
2,7.2,60
5,11.5,90
5,10.7,100
6,3.2,57
7,0.8,31
8,8.3,86
5,8.9,84
6,4.8,54
6,0.5,51
6,10.1,83
4,8.7,91
5,3.4,43
7,5.0,72
2,4.6,55
5,10.3,87
2,1.1,44
5,7.8,69
4,11.7,98
6,2.7,50
7,10.7,100
7,11.0,100
4,8.8,70
7,5.7,82
3,7.9,71
8,1.1,52
3,2.5,45
6,3.7,53
5,5.2,58
5,6.1,77
7,1.9,57
3,1.4,42
8,6.8,80
6,12.0,100
7,2.1,44
4,1.5,39
2,4.2,51
5,9.8,82
1,9.1,78
7,5.3,72
4,4.8,57
1,6.2,67
6,1.9,51
4,1.6,36
7,5.1,69
7,11.5,90
3,0.9,45
8,11.6,100
1,1.3,38
8,11.7,100
2,3.1,38
2,11.3,100
8,1.5,61
1,0.5,21
4,7.0,60
5,11.6,100
5,6.6,72
2,1.6,34
4,5.0,55
1,0.6,27
8,3.7,59
4,6.0,61
4,0.8,38
5,1.1,35
8,10.7,100
7,1.4,41
7,11.1,95
8,0.9,43
7,4.7,64
4,0.6,33
2,2.9,38
5,9.3,80
4,5.8,60
5,1.8,51
8,7.5,77
8,5.3,79
1,11.4,81
7,1.1,33
3,5.3,70
1,2.6,43
6,8.9,75
3,4.3,47
8,0.9,54
7,10.1,92
8,2.4,42
2,3.7,48
7,11.5,93
4,4.9,71
5,10.0,91
2,1.1,38
4,4.8,61
4,4.2,67
8,0.8,46
4,9.8,98
7,1.0,33
8,1.2,36
5,2.7,39
6,4.7,60
1,3.5,56
6,11.1,95
1,8.8,82
